id	filename	md5	size	state
0004f420-d36f-412e-823b-bd870747f625	0004f420-d36f-412e-823b-bd870747f625/unc.edu.45684bfb-a8c1-4224-a632-a93aa7f70b47.1798325.rsem.genes.results	6142459b6325c0b46f385b003bf608d3	1514684	validated
00184f28-1664-4e0d-aa2b-8ba6c4099910	00184f28-1664-4e0d-aa2b-8ba6c4099910/unc.edu.6fdf4f1c-5fac-46b4-bb5c-c23dae9bf215.2448767.rsem.genes.results	8a3cde5cb759cda2e9aaf9fc54ab85d0	1498617	validated
00a9e4ce-cefb-44c2-966c-fdb4c633f565	00a9e4ce-cefb-44c2-966c-fdb4c633f565/unc.edu.6d979d21-8d92-40aa-a19f-f4a6c55384cf.2502579.rsem.genes.results	ceef73be3f5e09685bd98670d554e643	1501416	validated
00f049ca-e788-458d-835e-fa2ab7f11ed8	00f049ca-e788-458d-835e-fa2ab7f11ed8/unc.edu.e4fcb1f0-4637-49c4-ba32-3d037ccc25f2.2249696.rsem.genes.results	b7d62534668ed44cf624a9d3f77ec238	1503928	validated
011e1a37-5417-4adc-8878-be177a9eb3b6	011e1a37-5417-4adc-8878-be177a9eb3b6/unc.edu.be86bc67-ccbb-4565-adc3-4577b8067a33.2637198.rsem.genes.results	fa1b5087c7b6948a54266632fbea8111	1481631	validated
032939ff-ed78-4d30-814e-9cd25346fd09	032939ff-ed78-4d30-814e-9cd25346fd09/unc.edu.43426760-46b7-422e-ab1b-d29d6c2ee21e.1846190.rsem.genes.results	e536493e6e52eb8640687963353b1751	1499297	validated
0431afda-0e05-4b77-be8b-8d5beb91257a	0431afda-0e05-4b77-be8b-8d5beb91257a/unc.edu.3c1b3db3-89b5-479d-8ddf-4765b46934f4.2640821.rsem.genes.results	1bc9334f9d3e8377bc005c3b62fc6629	1478103	validated
0447a71d-f3e9-49c6-873a-fc27140f7d41	0447a71d-f3e9-49c6-873a-fc27140f7d41/unc.edu.99fb714e-01a3-4aa0-8792-39df3be95a1d.2449624.rsem.genes.results	60c6c5fd3bac8ed91658bbe125617019	1507318	validated
04979245-29d6-490c-9c3f-980705c7c18d	04979245-29d6-490c-9c3f-980705c7c18d/unc.edu.a76c84d3-7243-465b-bbfe-087dbfba4b24.2249559.rsem.genes.results	b30162def5e6b518696d7dc9cafa121c	1500770	validated
0502b41e-04e2-476c-b828-e6456d61dc90	0502b41e-04e2-476c-b828-e6456d61dc90/unc.edu.5b1b9e38-e00a-462b-976a-c540c13718ca.1311589.rsem.genes.results	ca49f78934e42f9c3be6765dbaa31f80	1495443	validated
05e02f23-caf3-4ad0-b161-3c5e7142c987	05e02f23-caf3-4ad0-b161-3c5e7142c987/unc.edu.b2ae2c3b-87c2-47e1-9d66-ae23a3f83919.2255288.rsem.genes.results	0059815f5dae9f7889c3b15da564d64c	1489506	validated
0615cbcb-c0a5-461a-b0c9-ec28549130a8	0615cbcb-c0a5-461a-b0c9-ec28549130a8/unc.edu.c623f952-e487-4d8d-a5c3-eef8bac53a05.2640524.rsem.genes.results	07a280d6e81b478578975df937389330	1480670	validated
0634d2dc-2c18-4af2-821e-e1ec3cc47e9a	0634d2dc-2c18-4af2-821e-e1ec3cc47e9a/unc.edu.95cdfdf7-26d2-41b6-bac7-a6305a91ec3c.1313126.rsem.genes.results	5143a3ec9ccb34a9fc2a0611c22246df	1512128	validated
06bfa584-8ffe-4663-a67a-de51833f3604	06bfa584-8ffe-4663-a67a-de51833f3604/unc.edu.e155a2ba-8842-417b-ab5a-e49339136236.2433927.rsem.genes.results	0c57e957c4145cbf149a8b50d2000a5b	1491490	validated
